_id,user_id,project_id,updated_at,created_at
4d801c834bc13c7736000004,4d70786b4bc13c767a000003,4d76ee514bc13c78ea00002b,2011-03-16 02:12:20 UTC,2011-03-16 02:12:20 UTC
4d801c8e4bc13c773600000a,4d76eec24bc13c78ea000035,4d76ee514bc13c78ea00002b,2011-03-16 02:12:30 UTC,2011-03-16 02:12:30 UTC
4d824654ead1cc571500000a,4d7abf8a4bc13c7b3600000c,4d76ee514bc13c78ea00002b,2011-03-17 17:35:16 UTC,2011-03-17 17:35:16 UTC
4d97444bead1cc69f7000009,4d974436ead1cc69f7000005,4d76ee514bc13c78ea00002b,2011-04-02 15:44:11 UTC,2011-04-02 15:44:11 UTC
4dab39e4ead1cc5e4100013c,4dab380fead1cc5e41000137,4d76ee514bc13c78ea00002b,2011-04-17 19:05:08 UTC,2011-04-17 19:05:08 UTC
4df98137cb5dc721a70000d6,4d76eec24bc13c78ea000035,4df98130cb5dc721a70000d3,2011-06-16 04:06:15 UTC,2011-06-16 04:06:15 UTC
4e0d2f95cb5dc721a7000200,4d707b1d4bc13c7795000004,4e0d2ed3cb5dc721a70001eb,2011-07-01 02:23:17 UTC,2011-07-01 02:23:17 UTC
4e16ff74cb5dc721a700032a,4d76eec24bc13c78ea000035,4e16ff6acb5dc721a7000327,2011-07-08 13:00:36 UTC,2011-07-08 13:00:36 UTC
4ec3de0acb5dc71c0d00007d,4d707b1d4bc13c7795000004,4d82256aead1cc4d08000009,2011-11-16 16:00:10 UTC,2011-11-16 16:00:10 UTC
4f82ffafcb5dc746ac000095,4f3bf99fcb5dc76bb200003d,4d76ee514bc13c78ea00002b,2012-04-09 15:26:39 UTC,2012-04-09 15:26:39 UTC
500b6eeccb5dc77c9a00009e,500b6e8fcb5dc77c9a000099,500b6ee4cb5dc77c9a00009b,2012-07-22 03:09:32 UTC,2012-07-22 03:09:32 UTC
50131f56cb5dc7106d000074,4d707b1d4bc13c7795000004,50131f51cb5dc7106d000071,2012-07-27 23:08:06 UTC,2012-07-27 23:08:06 UTC
