_id,created_at,date,hours,task_id,updated_at,user_id
4d822964ead1cc4e7d000002,2011-03-17 15:31:48 UTC,2011-03-17 00:00:00 UTC,1,4d822964ead1cc4e7d000001,2011-03-17 15:43:57 UTC,4d70786b4bc13c767a000003
4d82296bead1cc4e7d000004,2011-03-17 15:31:55 UTC,2011-03-17 00:00:00 UTC,0.5,4d82296bead1cc4e7d000003,2011-03-17 15:43:57 UTC,4d70786b4bc13c767a000003
4d822973ead1cc4e7d000006,2011-03-17 15:32:03 UTC,2011-03-17 00:00:00 UTC,0.5,4d822973ead1cc4e7d000005,2011-03-17 15:43:57 UTC,4d70786b4bc13c767a000003
4d822979ead1cc4e7d000008,2011-03-17 15:32:09 UTC,2011-03-17 00:00:00 UTC,2,4d822979ead1cc4e7d000007,2011-03-17 15:43:57 UTC,4d70786b4bc13c767a000003
4d82297bead1cc4e7d00000a,2011-03-17 15:32:11 UTC,2011-03-17 00:00:00 UTC,1,4d82297bead1cc4e7d000009,2011-03-17 15:43:58 UTC,4d70786b4bc13c767a000003
4d82297eead1cc4e7d00000c,2011-03-17 15:32:14 UTC,2011-03-17 00:00:00 UTC,0.75,4d82297eead1cc4e7d00000b,2011-03-17 15:43:58 UTC,4d70786b4bc13c767a000003
4d822982ead1cc4e7d00000e,2011-03-17 15:32:18 UTC,2011-03-17 00:00:00 UTC,1,4d822982ead1cc4e7d00000d,2011-03-17 15:43:58 UTC,4d70786b4bc13c767a000003
4d822985ead1cc4e7d000010,2011-03-17 15:32:21 UTC,2011-03-17 00:00:00 UTC,0.5,4d822985ead1cc4e7d00000f,2011-03-17 15:43:58 UTC,4d70786b4bc13c767a000003
4d822a1bead1cc4e7d000014,2011-03-17 15:34:51 UTC,2011-03-17 00:00:00 UTC,1,4d822985ead1cc4e7d00000f,2011-03-17 15:43:58 UTC,4d70786b4bc13c767a000003
4d8233ddead1cc5149000009,2011-03-17 16:16:29 UTC,2011-03-03 00:00:00 UTC,21.25,4d8233ddead1cc5149000008,2011-03-17 16:44:09 UTC,4d707b1d4bc13c7795000004
4d8233eeead1cc514900000b,2011-03-17 16:16:46 UTC,2011-03-03 00:00:00 UTC,11.5,4d8233eeead1cc514900000a,2011-03-17 16:44:09 UTC,4d707b1d4bc13c7795000004
4d8233f8ead1cc514900000d,2011-03-17 16:16:56 UTC,2011-03-03 00:00:00 UTC,35.5,4d8233f8ead1cc514900000c,2011-03-17 16:44:09 UTC,4d707b1d4bc13c7795000004
4d823400ead1cc514900000f,2011-03-17 16:17:04 UTC,2011-03-03 00:00:00 UTC,7.25,4d823400ead1cc514900000e,2011-03-17 16:44:09 UTC,4d707b1d4bc13c7795000004
